72 10 6
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 4X1024 1024X4 64X64 64X1024 1024X64 256X256 
8 750 8.43188e+08 188 4 1024 0 0 2 2 44914.8 27900.7 45209.9 67936.4 57409.8 53702.7 
8 1000 1.999e+09 250 4 1024 0 0 2 2 44682.5 26853.4 45599.3 90467 72095 93226.7 
8 2500 3.12438e+10 1875 4 1024 0 0 2 2 21936.1 18899.6 34494.5 84339.7 71277 92764.1 
8 5000 2.49975e+11 6250 4 1024 0 0 2 2 19470 14604.6 30060.6 86147.7 70040.4 96412.5 
8 7500 8.43694e+11 15000 4 1024 0 0 2 2 14913.8 13842 24899.6 86161 68084.5 96487.2 
8 100 1.99e+06 25 4 1024 1 1 2 2 34802.7 39601.9 27544.1 14609.5 14889.4 10141.5 
8 250 3.11875e+07 63 4 1024 1 1 2 2 59331.9 54295.8 63484.7 30414.1 31523.1 11432.3 
8 500 2.4975e+08 125 4 1024 1 1 2 2 53568.8 57500.4 61644.2 46373.4 47216.1 38161.8 
8 750 8.43188e+08 188 4 1024 1 1 2 2 28165.6 45183.8 46515.1 58144.5 68787.2 54677.8 
8 1000 1.999e+09 250 4 1024 1 1 2 2 26866.8 45327.1 45131.3 73509.6 92434.9 94849.2 
8 2500 3.12438e+10 1875 4 1024 1 1 2 2 18998.4 23665.8 34669.4 71614 85935.6 95582.8 
8 5000 2.49975e+11 6250 4 1024 1 1 2 2 14634.4 20756.5 29707.2 69691.1 88920.9 98410 
8 7500 8.43694e+11 15000 4 1024 1 1 2 2 13756.8 20057.6 26025.5 68880.3 88431.9 98330.8 
8 100 1.99e+06 25 4 1024 0 1 2 2 37171.5 35045.5 21673.9 14764.7 14701.4 10048.6 
8 250 3.11875e+07 63 4 1024 0 1 2 2 62400.4 75640.2 79173.6 30883.5 29752.3 11328.9 
8 500 2.4975e+08 125 4 1024 0 1 2 2 70601 97240.2 79508.4 47437.6 46253.5 37969.4 
8 750 8.43188e+08 188 4 1024 0 1 2 2 65099.7 75734.6 67317.5 70022.4 58046.1 54024.6 
8 1000 1.999e+09 250 4 1024 0 1 2 2 64691.5 76668.9 65266.5 93654 73886.1 94313 
8 2500 3.12438e+10 1875 4 1024 0 1 2 2 28924.8 47262.8 63435 88499.4 72793.5 94308.6 
8 5000 2.49975e+11 6250 4 1024 0 1 2 2 15385.6 39092 29234.7 89697.1 70340.5 97532.9 
8 7500 8.43694e+11 15000 4 1024 0 1 2 2 13794.6 39200.6 14039.1 88614.4 70058.9 97006.9 
12 100 1.99e+06 25 4 1024 0 0 2 2 32634 31041.7 26256.1 13893.3 13792.2 9962.3 
12 250 3.11875e+07 63 4 1024 0 0 2 2 73323.5 78642.7 63993.9 30430.4 27941.3 11427.4 
12 500 2.4975e+08 125 4 1024 0 0 2 2 82773.9 76588 86983.9 48774.2 46332.3 39694.1 
12 750 8.43188e+08 188 4 1024 0 0 2 2 67614.9 41055.6 67227.7 68269.5 57421.5 56182.6 
12 1000 1.999e+09 250 4 1024 0 0 2 2 68356.4 40251.8 66525.3 92261.9 76453.9 94511 
12 2500 3.12438e+10 1875 4 1024 0 0 2 2 26632.5 26998.5 51232 116602 103814 132523 
12 5000 2.49975e+11 6250 4 1024 0 0 2 2 21817 21185.4 45498.8 128660 98944.6 141738 
12 7500 8.43694e+11 15000 4 1024 0 0 2 2 21198.9 20340.3 34978 122105 101816 144984 
12 100 1.99e+06 25 4 1024 1 1 2 2 30181.6 33704.9 25575 13685.9 14279.3 10109 
12 250 3.11875e+07 63 4 1024 1 1 2 2 78786 73673.2 63769.2 29228 32309.7 11732.3 
12 500 2.4975e+08 125 4 1024 1 1 2 2 76373.2 82296.5 87184.5 48168.6 50953.3 41727.3 
12 750 8.43188e+08 188 4 1024 1 1 2 2 40927.9 68007.8 68177.7 57616.4 69045.9 57919.7 
12 1000 1.999e+09 250 4 1024 1 1 2 2 40529.3 67090.3 67330.6 77455.9 93648.3 96365.7 
12 2500 3.12438e+10 1875 4 1024 1 1 2 2 26911.2 34450.5 52608 105105 121675 140055 
12 5000 2.49975e+11 6250 4 1024 1 1 2 2 21442.5 27977.3 45266.1 103265 132970 147209 
12 7500 8.43694e+11 15000 4 1024 1 1 2 2 20692.8 20879.1 38953.1 100513 128066 146491 
12 100 1.99e+06 25 4 1024 0 1 2 2 31855.9 27029.5 19824.2 14442.6 13773 9937.47 
12 250 3.11875e+07 63 4 1024 0 1 2 2 84605.8 81119 78383.8 30977.3 28065.9 11376.5 
12 500 2.4975e+08 125 4 1024 0 1 2 2 104117 130530 110590 52238.5 47255.8 40870.6 
12 750 8.43188e+08 188 4 1024 0 1 2 2 97979.2 105744 100364 70317.3 58515.3 56987.9 
12 1000 1.999e+09 250 4 1024 0 1 2 2 97602.2 113659 98749 95522.4 78742.8 95243.6 
12 2500 3.12438e+10 1875 4 1024 0 1 2 2 22847 42671 92108.6 122735 101759 135059 
12 5000 2.49975e+11 6250 4 1024 0 1 2 2 14696.8 32150.5 51796.3 133335 100723 142855 
12 7500 8.43694e+11 15000 4 1024 0 1 2 2 14139.9 32792.6 30018.6 121143 104851 147060 
