160 10 3
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 4X1024 1024X4 64X64 
6 100 10000 25 4 1024 0 1 2 2 1106.97 1078.46 1134.98 
6 250 62500 63 4 1024 0 1 2 2 1305.14 641.146 1454.37 
6 500 250000 125 4 1024 0 1 2 2 1684.12 625.782 1714.62 
6 750 562500 188 4 1024 0 1 2 2 837.355 539.094 1494.76 
6 1000 1e+06 250 4 1024 0 1 2 2 711.637 276.376 743.105 
6 100 10000 25 4 1024 1 0 2 2 1101.59 1106.49 1118.79 
6 250 62500 63 4 1024 1 0 2 2 1329.66 646.469 1465.53 
6 500 250000 125 4 1024 1 0 2 2 1710.03 619.823 1716.37 
6 750 562500 188 4 1024 1 0 2 2 843.15 539.458 1459.86 
6 1000 1e+06 250 4 1024 1 0 2 2 714.706 273.515 741.641 
8 100 10000 25 4 1024 0 0 2 2 1571.71 1482.78 1507.17 
8 250 62500 63 4 1024 0 0 2 2 1669.75 687.219 1602.29 
8 500 250000 125 4 1024 0 0 2 2 2813.08 575.837 2676.07 
8 750 562500 188 4 1024 0 0 2 2 3052.09 517.018 2700.95 
8 1000 1e+06 250 4 1024 0 0 2 2 1632.06 277.852 1107.68 
8 100 10000 25 4 1024 1 1 2 2 1515.32 1622.61 1501.28 
8 250 62500 63 4 1024 1 1 2 2 690.757 1647.47 1500.72 
8 500 250000 125 4 1024 1 1 2 2 575.595 2802.8 2298.7 
8 750 562500 188 4 1024 1 1 2 2 499.394 3046.3 2264.2 
8 1000 1e+06 250 4 1024 1 1 2 2 278.232 1610.26 1035.64 
8 100 10000 25 4 1024 0 1 2 2 1098.65 1101.32 1113.28 
8 250 62500 63 4 1024 0 1 2 2 1449.57 686.172 1475.46 
8 500 250000 125 4 1024 0 1 2 2 2022.06 773.357 2005.45 
8 750 562500 188 4 1024 0 1 2 2 1067.19 705.672 1836.18 
8 1000 1e+06 250 4 1024 0 1 2 2 894.598 356.57 934.068 
8 100 10000 25 4 1024 1 0 2 2 1103.92 1095.43 1095.3 
8 250 62500 63 4 1024 1 0 2 2 1465.33 685.882 1489.19 
8 500 250000 125 4 1024 1 0 2 2 2028.63 772.993 2009.52 
8 750 562500 188 4 1024 1 0 2 2 1078.73 673.156 1767.94 
8 1000 1e+06 250 4 1024 1 0 2 2 889.978 345.469 920.771 
10 100 10000 25 4 1024 0 0 2 2 1570.91 1527.17 1461.1 
10 250 62500 63 4 1024 0 0 2 2 1255.17 360.92 1103.15 
10 500 250000 125 4 1024 0 0 2 2 2578.95 405.142 1911.12 
10 750 562500 188 4 1024 0 0 2 2 2905.62 359.306 1990.89 
10 1000 1e+06 250 4 1024 0 0 2 2 1872.88 290.786 1353.1 
10 100 10000 25 4 1024 1 1 2 2 1491.48 1555.39 1463.55 
10 250 62500 63 4 1024 1 1 2 2 358.944 1267.02 1093.56 
10 500 250000 125 4 1024 1 1 2 2 411.366 2579.09 1776.4 
10 750 562500 188 4 1024 1 1 2 2 368.15 2938.72 2017.02 
10 1000 1e+06 250 4 1024 1 1 2 2 279.521 1931.3 1367.83 
10 100 10000 25 4 1024 0 1 2 2 1103.85 1170.13 1105.07 
10 250 62500 63 4 1024 0 1 2 2 1197.24 332.323 1120.73 
10 500 250000 125 4 1024 0 1 2 2 2020.82 396.341 1739.38 
10 750 562500 188 4 1024 0 1 2 2 1306.4 384.71 1740.44 
10 1000 1e+06 250 4 1024 0 1 2 2 1102.97 336.114 1255.38 
10 100 10000 25 4 1024 1 0 2 2 1121.31 1087.6 1079.16 
10 250 62500 63 4 1024 1 0 2 2 1194.51 332.468 1122.73 
10 500 250000 125 4 1024 1 0 2 2 2013.65 410.761 1777.76 
10 750 562500 188 4 1024 1 0 2 2 1316.47 388.344 1705.91 
10 1000 1e+06 250 4 1024 1 0 2 2 1073.75 337.504 1267.7 
12 100 10000 25 4 1024 0 0 2 2 1516.57 1537.09 1548.8 
12 250 62500 63 4 1024 0 0 2 2 1149.11 329.009 1010.7 
12 500 250000 125 4 1024 0 0 2 2 2285.58 380.898 1748.52 
12 750 562500 188 4 1024 0 0 2 2 2632.98 351.533 2183.61 
12 1000 1e+06 250 4 1024 0 0 2 2 1740.61 313.366 1495.44 
12 100 10000 25 4 1024 1 1 2 2 1516.04 1520.58 1541.45 
12 250 62500 63 4 1024 1 1 2 2 333.773 1147.72 1002.43 
12 500 250000 125 4 1024 1 1 2 2 382.587 2318.95 1712.42 
12 750 562500 188 4 1024 1 1 2 2 357.245 2671.36 2092.5 
12 1000 1e+06 250 4 1024 1 1 2 2 319.56 1849 1426.03 
12 100 10000 25 4 1024 0 1 2 2 1161.58 1108.37 1121.07 
12 250 62500 63 4 1024 0 1 2 2 1103.4 336.032 1030.41 
12 500 250000 125 4 1024 0 1 2 2 1986.66 405.206 1721.26 
12 750 562500 188 4 1024 0 1 2 2 1513.14 361.538 1976.63 
12 1000 1e+06 250 4 1024 0 1 2 2 1209.89 355.874 1358.67 
12 100 10000 25 4 1024 1 0 2 2 1072.84 1133.97 1117.88 
12 250 62500 63 4 1024 1 0 2 2 1103.68 325.4 1021.45 
12 500 250000 125 4 1024 1 0 2 2 1975.89 396.274 1662.41 
12 750 562500 188 4 1024 1 0 2 2 1489.04 374.394 1947.05 
12 1000 1e+06 250 4 1024 1 0 2 2 1329.6 356.523 1275.42 
14 100 10000 25 4 1024 0 0 2 2 1566.21 1514.15 1519.14 
14 250 62500 63 4 1024 0 0 2 2 1073.9 358.375 958.595 
14 500 250000 125 4 1024 0 0 2 2 2184.75 437.472 1832.1 
14 750 562500 188 4 1024 0 0 2 2 2675.38 385.393 2017.79 
14 1000 1e+06 250 4 1024 0 0 2 2 1974.42 368.825 1608.96 
14 100 10000 25 4 1024 1 1 2 2 1519.77 1546.65 1535.78 
14 250 62500 63 4 1024 1 1 2 2 359.349 1065.92 939.486 
14 500 250000 125 4 1024 1 1 2 2 439.339 2208.39 1764.54 
14 750 562500 188 4 1024 1 1 2 2 385.298 2676.15 1882.25 
14 1000 1e+06 250 4 1024 1 1 2 2 366.674 2013.19 1481.73 
14 100 10000 25 4 1024 0 1 2 2 1134.39 1089.33 1104.65 
14 250 62500 63 4 1024 0 1 2 2 1028.86 349.852 973.089 
14 500 250000 125 4 1024 0 1 2 2 1990.08 432.199 1755.32 
14 750 562500 188 4 1024 0 1 2 2 1643.77 407.25 1966.96 
14 1000 1e+06 250 4 1024 0 1 2 2 1487.16 406.549 1443.7 
14 100 10000 25 4 1024 1 0 2 2 1086.01 1103.4 1127.69 
14 250 62500 63 4 1024 1 0 2 2 1035.54 349.359 961.14 
14 500 250000 125 4 1024 1 0 2 2 1996.87 439.009 1756.9 
14 750 562500 188 4 1024 1 0 2 2 1656 398.581 1961.51 
14 1000 1e+06 250 4 1024 1 0 2 2 1422.59 401.898 1442.98 
16 100 10000 25 4 1024 0 0 2 2 1595.49 1538.23 1548.09 
16 250 62500 63 4 1024 0 0 2 2 982.924 392.235 1127.19 
16 500 250000 125 4 1024 0 0 2 2 2278.82 483.852 2282.22 
16 750 562500 188 4 1024 0 0 2 2 2603.54 429.962 2654.2 
16 1000 1e+06 250 4 1024 0 0 2 2 2111.96 412.087 2236.91 
16 100 10000 25 4 1024 1 1 2 2 1534.79 1563.5 1550.73 
16 250 62500 63 4 1024 1 1 2 2 387.538 959.632 1020.16 
16 500 250000 125 4 1024 1 1 2 2 484.084 2246.35 2127.05 
16 750 562500 188 4 1024 1 1 2 2 428.338 2588.57 2316.67 
16 1000 1e+06 250 4 1024 1 1 2 2 405.77 2101.54 1953.2 
16 100 10000 25 4 1024 0 1 2 2 1093.11 1035.01 1073.59 
16 250 62500 63 4 1024 0 1 2 2 980.042 361.026 1119.94 
16 500 250000 125 4 1024 0 1 2 2 2059.91 467.43 2147.88 
16 750 562500 188 4 1024 0 1 2 2 1801.54 438.457 2387.21 
16 1000 1e+06 250 4 1024 0 1 2 2 1577.26 449.909 1948.43 
16 100 10000 25 4 1024 1 0 2 2 1118.78 1134.27 1098.42 
16 250 62500 63 4 1024 1 0 2 2 984.769 391.721 1115.03 
16 500 250000 125 4 1024 1 0 2 2 2077.03 491.767 2169.51 
16 750 562500 188 4 1024 1 0 2 2 1819.21 451.708 2463.1 
16 1000 1e+06 250 4 1024 1 0 2 2 1584.74 457.181 1952.31 
