256 10 11
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 2 3 4 5 6 7 8 9 10 20 
2 750 562500 144 64 64 0 1 2 2 712.022 864.662 915.392 1010.45 979.664 951.172 1005.72 1010.21 1048.51 997.925 952.086 
2 1000 1e+06 256 64 64 0 1 2 2 402.85 446.806 484.55 470.384 491.298 517.721 525.235 504.808 530.099 530.342 516.322 
2 2500 6.25e+06 1600 64 64 0 1 2 2 326.938 349.299 356.149 367.93 372.256 370.614 370.94 374.225 376.435 380.824 383.093 
2 100 1.99e+06 4 64 64 0 0 2 2 22707.3 24022.6 17988.3 16480.4 16357.1 16400.2 16452.7 16330.9 16399.4 16367.8 16433.5 
2 250 3.11875e+07 16 64 64 0 0 2 2 17559.9 19228.1 17201 19140.2 15757.3 15958.6 17817.1 19148.9 17045.4 15261.9 9869.81 
2 500 2.4975e+08 64 64 64 0 0 2 2 18260.6 18304.2 17896.4 18349.1 17809.1 18179.7 17339.2 18334.4 16592.7 18114.2 14878.1 
2 750 8.43188e+08 144 64 64 0 0 2 2 13448.9 13371.9 13096.6 13282.8 13347.3 13314.5 13126.1 13308.2 13173.8 13005.8 12118.2 
4 25000 25000 7 4096 1 0 0 1 1 1074.62 1076.69 1080.34 1079.1 1080.48 1082.74 1079.96 1074.59 1095.55 1080.2 1070.21 
4 50000 50000 13 4096 1 0 0 1 1 1301.69 1548.46 1337.1 1416.76 1422.29 1398.43 1341.87 1216.81 1109.02 1023.84 867.656 
4 75000 75000 19 4096 1 0 0 1 1 1468.93 1726.09 1789.29 1640.94 1549.34 1599.34 1548.94 1552.94 1498.13 1505.51 891.234 
4 100000 100000 25 4096 1 0 0 1 1 1543.44 1910.74 2118.21 2001.55 1819.98 1653.09 1658.25 1698.33 1708.56 1676.64 1104.56 
4 250000 250000 62 4096 1 0 0 1 1 1791.26 2272.88 2408.66 2562.16 2607.16 2577.64 2544.38 2804.3 2673.84 2463.97 1997.53 
4 500000 500000 123 4096 1 0 0 1 1 1867.92 2437.73 2611.09 2750.09 2783.95 2831.49 2921.82 2940.83 2810.78 3010.42 2622.36 
4 750000 750000 184 4096 1 0 0 1 1 1689.19 2081.62 2328.67 2370.88 2462.67 2456.45 2458.99 2497.31 2504.86 2454.75 2238.56 
4 1000000 1e+06 245 4096 1 0 0 1 1 1143.47 1291.21 1362.24 1498.35 1487.05 1524.72 1511.35 1562.12 1562.93 1582.98 1612.74 
4 250 124750 16 16 1 0 0 2 1 7255.79 7145.61 7237.28 7222.64 7174.67 7301.86 7170.81 7122.14 7197.61 7156.69 7293.4 
4 500 499500 32 16 1 0 0 2 1 7867.89 10231.8 11677 12658.5 12209.7 11495.7 10908.4 10044.8 10320.2 10738.9 8767.06 
4 750 1.12425e+06 47 16 1 0 0 2 1 10849.6 13732.6 15065.5 16076 15407.7 17349.7 16469.2 15256 13947.1 13400.6 11895.4 
4 1000 1.999e+06 63 16 1 0 0 2 1 13291.8 16415 17144.9 18457.8 18184 18690.9 17416.2 20482.5 19374.2 17774.1 13695.9 
4 2500 1.24975e+07 157 16 1 0 0 2 1 6162.19 6316.61 6513.19 6310.36 6373.28 6367.38 6417.72 6344.48 6315.06 6514.25 6292.47 
4 250 62500 63 4 1024 0 0 2 2 668.653 1023.54 1198.58 1357.72 1423.79 1545.58 1619.59 1715.6 1695.13 1652.44 1456.61 
4 500 250000 125 4 1024 0 0 2 2 1226.07 1778.45 2039.7 2252.6 2292.14 2362.27 2511.3 2547.01 2491.66 2546.39 2477.28 
4 750 562500 188 4 1024 0 0 2 2 1584.6 2086.51 2369.2 2530.05 2580.79 2693.9 2759.1 2836.6 2694.7 2888.07 2662.29 
4 1000 1e+06 250 4 1024 0 0 2 2 1111.1 1262.18 1338.08 1430.82 1443.84 1521.9 1531.95 1553.62 1538.63 1574.67 1543.4 
4 2500 6.25e+06 1875 4 1024 0 0 2 2 723.463 792.163 818.927 819.448 822.717 844.986 846.342 847.905 849.56 852.015 855.445 
4 250 62500 63 4 1024 0 0 0 2 696.999 1063.05 1321.21 1497.59 1597.86 1749.56 1842.82 1904.94 1925.6 1854.47 1741.65 
4 500 250000 125 4 1024 0 0 0 2 1346.03 2003.74 2409.11 2667.27 2774.17 2861.49 3088.39 3069.15 3076.83 3131.82 3116.98 
4 750 562500 188 4 1024 0 0 0 2 1853.37 2518.63 3008.68 3218.63 3355.94 3547.83 3544.03 3629.91 3597.94 3732.11 3510.95 
4 1000 1e+06 250 4 1024 0 0 0 2 2000.68 2629.68 2983.33 3207.03 3411.79 3442.95 3484 3557.32 3687.7 3505.23 3565.64 
4 2500 6.25e+06 1875 4 1024 0 0 0 2 937.827 1026.27 1071.94 1075.03 1084.32 1111.45 1115.63 1118.85 1120.57 1124.38 1133.96 
4 250 62500 16 64 64 0 1 2 2 1173.62 1434.72 1286.56 1109.05 1155.26 1190.31 1141.22 1144.7 1044.65 951.198 646.47 
4 500 250000 64 64 64 0 1 2 2 1420.32 1700.74 1752.14 1930.75 1836.92 1891.95 1732.97 2086.6 1890.58 1775.26 1284.86 
4 750 562500 144 64 64 0 1 2 2 1312.18 1640.06 1765.37 1767.97 1740.62 1831.63 1753.15 1807.5 1895.35 1790.66 1789.11 
4 1000 1e+06 256 64 64 0 1 2 2 726.003 802.373 866.94 886.405 900.494 925.79 934.761 926.971 918.819 934.979 893.671 
4 2500 6.25e+06 1600 64 64 0 1 2 2 547 591.421 595.989 611.333 616.32 619.567 621.59 624.342 623.921 628.79 628.348 
4 100 1.99e+06 4 64 64 0 0 2 2 25695.6 23557.4 17526.3 15439.2 15418.6 15504.8 15376.5 15482.1 15420.3 15393.4 15420.8 
4 250 3.11875e+07 16 64 64 0 0 2 2 36060.6 36137.7 25218.1 19660.2 20029.7 20565.4 19284 18504.7 16450.2 14780 9501.66 
4 500 2.4975e+08 64 64 64 0 0 2 2 34867.7 34914.7 32731.1 34896.4 32047.7 31241 28767.2 35158.8 31172.9 28100.6 22379.5 
4 750 8.43188e+08 144 64 64 0 0 2 2 25317.5 25024.4 25169.8 24727.6 24174.7 24657.6 24109 23226.7 25213.5 22799.9 22572.4 
6 25000 25000 7 4096 1 0 0 1 1 1074.56 1074.98 1070.93 1089.13 1073.86 1108.52 1105.05 1093.41 1070.01 1079.07 1075.26 
6 50000 50000 13 4096 1 0 0 1 1 1501.75 1411.24 1512.03 1490.65 1425.53 1337.66 1272.02 1149.82 1051.07 969.655 827.676 
6 75000 75000 19 4096 1 0 0 1 1 1754.27 2042.64 1684.26 1734.79 1711.93 1687.03 1631.78 1551.63 1455.44 1423.34 851.993 
6 100000 100000 25 4096 1 0 0 1 1 1937.93 2301.26 2227.85 1899.57 1867.49 1846.96 1859.8 1835.72 1754.01 1696.25 1048.18 
6 250000 250000 62 4096 1 0 0 1 1 2350.47 2929.35 3126.32 3255.92 3428.25 3343.42 3095.58 2821.49 2597.71 2388.2 2164.71 
6 500000 500000 123 4096 1 0 0 1 1 2442.07 3225.02 3475.96 3606.94 3698.21 3608.42 3867.81 3763.55 3542.91 4082.57 2550.92 
6 750000 750000 184 4096 1 0 0 1 1 2232.66 2758.49 3027.42 3027.72 3242.76 3147.66 3201.3 3351.12 3202.11 3375.4 2975.21 
6 1000000 1e+06 245 4096 1 0 0 1 1 1287.78 1521.66 1607.85 1610.31 1660.1 1639.43 1685.22 1700.55 1675.75 1693.43 1762.4 
6 250 124750 16 16 1 0 0 2 1 7148.66 7312.8 7139.6 7098.43 7107.55 7215.6 7109.17 7135.7 7174.3 7169.82 7143.91 
6 500 499500 32 16 1 0 0 2 1 9400.98 12530.4 13353.8 12982.6 11565.9 11699.8 11338.6 11367.3 11216.1 11269 8250.57 
6 750 1.12425e+06 47 16 1 0 0 2 1 13851.1 17376.7 18740.9 20104.4 19542.9 17608.1 15641.3 15083.1 14157.1 13753.4 11919.2 
6 1000 1.999e+06 63 16 1 0 0 2 1 17348.8 21194 22288.9 23718.5 23955.8 24264.5 22284.9 20363.6 18510.6 17037.1 14743 
6 2500 1.24975e+07 157 16 1 0 0 2 1 6186.58 6497.17 6554.82 6436.55 6347.95 6422.17 6428.05 6302 6432.02 6395.2 6504.85 
6 250 62500 63 4 1024 0 0 2 2 810.44 1218.92 1468.09 1617.83 1685.53 1795.23 1803.35 1695.75 1620.95 1553.57 1508.47 
6 500 250000 125 4 1024 0 0 2 2 1571.68 2312.6 2676.95 2855.46 3008.1 3105.87 3234.77 3229.4 3192.52 3312.99 2371.94 
6 750 562500 188 4 1024 0 0 2 2 2124.26 2849.36 3231.11 3463.11 3558.5 3608.77 3644.47 3727.45 3662.29 3717.22 3569.08 
6 1000 1e+06 250 4 1024 0 0 2 2 1268.59 1448.37 1540.59 1612.34 1641.92 1660.71 1634.75 1652.69 1667.18 1684.68 1654.62 
6 2500 6.25e+06 1875 4 1024 0 0 2 2 760.75 811.755 832.766 828.964 844.675 850.001 849.244 850.755 852.18 853.516 859.317 
6 250 62500 63 4 1024 0 0 0 2 836.935 1249.08 1549.74 1727.64 1852.59 1929.48 1954.57 1909.76 1844.82 1734.64 1795.7 
6 500 250000 125 4 1024 0 0 0 2 1707.18 2579.75 3077.74 3317.88 3541.54 3712.63 3802.99 3934.74 3925.77 4007.99 3008.97 
6 750 562500 188 4 1024 0 0 0 2 2435.48 3439.32 3993.44 4316.01 4509.6 4553.43 4628.51 4847.7 4796.49 4784.65 4682.31 
6 1000 1e+06 250 4 1024 0 0 0 2 2620.1 3517.32 4066.99 4258.23 4465.7 4672.48 4602.85 4560.73 4701.52 4530.26 4773.02 
6 2500 6.25e+06 1875 4 1024 0 0 0 2 987.958 1064.47 1092.9 1096.64 1115.46 1126.69 1122.45 1126.22 1126.57 1128.64 1141.14 
6 250 62500 16 64 64 0 1 2 2 1418.41 1431.6 1296.36 1253.13 1245.09 1194.54 1113.33 1071.23 986.92 906.887 623.176 
6 500 250000 64 64 64 0 1 2 2 1831.8 2190.45 2332.87 2461.34 2373.49 2484.75 2249.72 2049.98 1856.88 1708.25 1480.19 
6 750 562500 144 64 64 0 1 2 2 1784.26 2128.09 2313.37 2394.89 2436.5 2453.68 2346.45 2609.79 2395.53 2331.13 1714.08 
6 1000 1e+06 256 64 64 0 1 2 2 951.069 1044.06 1130.68 1172.14 1189.79 1180.5 1195.49 1154.49 1202.16 1149.75 1129.22 
6 2500 6.25e+06 1600 64 64 0 1 2 2 659.526 695.761 694.67 717.157 719.284 715.967 718.516 720.061 718.967 722.513 728.709 
6 100 1.99e+06 4 64 64 0 0 2 2 27612.1 22425.3 16689.9 14692.4 14749.3 14760 14749 14760.8 14758.7 14723.9 14647.7 
6 250 3.11875e+07 16 64 64 0 0 2 2 46509.4 35108.2 25228 24225.6 23410.6 21030.9 19190.4 17774.8 15690.4 14197.4 9152.54 
6 500 2.4975e+08 64 64 64 0 0 2 2 49432.1 46319.5 45600.8 45216.6 42503.6 44658 38637 33818.1 30383.9 27656.7 23304.1 
6 750 8.43188e+08 144 64 64 0 0 2 2 36766.1 36714.1 35242.4 35066.6 34468.2 36227.7 31337.1 36672.5 32497.5 29419.2 22442.4 
8 25000 25000 7 4096 1 0 0 1 1 1082.73 1088.29 1072.34 1072.13 1079.05 1087.41 1069.53 1069.36 1071.02 1081.23 1105.14 
8 50000 50000 13 4096 1 0 0 1 1 1540.16 1565.84 1508.26 1473.82 1403.93 1261.81 1206.3 1092.09 996.569 921.695 786.206 
8 75000 75000 19 4096 1 0 0 1 1 1920.13 1898.02 1797.9 1772.36 1713.09 1632.44 1593.81 1506.83 1406.11 1361.94 811.392 
8 100000 100000 25 4096 1 0 0 1 1 2172.03 2429.09 2069.58 2010.66 1945.65 1888.07 1858.46 1790.62 1759.14 1674.63 1004.49 
8 250000 250000 62 4096 1 0 0 1 1 2721.35 3386.62 3661.26 3773.48 3617.41 3220.16 2907.35 2785.51 2586.43 2450.11 2115.25 
8 500000 500000 123 4096 1 0 0 1 1 2981.86 3806.08 4145.91 4334.74 4399.43 4412.74 4125.11 4614.16 4509.86 4213.29 2551.08 
8 750000 750000 184 4096 1 0 0 1 1 2488.32 3198.69 3467.76 3498.45 3524.21 3788.95 3626.69 3711.63 3794.59 3461.88 2994.04 
8 1000000 1e+06 245 4096 1 0 0 1 1 1303.92 1577.85 1646.32 1685.33 1701.48 1717.91 1674.35 1699.73 1690.72 1707.21 1847.42 
8 250 124750 16 16 1 0 0 2 1 7068.37 7153.49 7058.73 7267.5 7097.79 7486.3 7071.46 7059.2 7080.53 7376.86 7197.32 
8 500 499500 32 16 1 0 0 2 1 10651.1 13037.4 13117.4 13315.3 12030.1 11600.3 11868.3 11472.7 11451.7 11119 7838.88 
8 750 1.12425e+06 47 16 1 0 0 2 1 15686.9 19496.5 20703.5 20569.7 18291.2 17312.3 15865.7 14880.1 14683.1 14526.6 11664.8 
8 1000 1.999e+06 63 16 1 0 0 2 1 20244.1 24315.2 26597.2 27078.4 26282.2 23342.3 21280.9 19920.5 18395.9 17277.1 14584.9 
8 2500 1.24975e+07 157 16 1 0 0 2 1 6343.65 6451.83 6406.08 6429.06 6443.36 6376.7 6458.61 6417.32 6278.76 6484.08 6520.16 
8 250 62500 63 4 1024 0 0 2 2 861.679 1333.06 1604.59 1724.26 1800.9 1742.45 1670.69 1764.42 1715.14 1645.07 1496.73 
8 500 250000 125 4 1024 0 0 2 2 1846.54 2666.99 3078.1 3339.14 3525.48 3652.15 3559.43 3721.42 3815.15 3607.2 2422.47 
8 750 562500 188 4 1024 0 0 2 2 2457.55 3372.89 3784.73 4052.51 4120.85 4258.16 4265.8 4416.22 4485.47 4251.6 3378.18 
8 1000 1e+06 250 4 1024 0 0 2 2 1291.71 1510.58 1632.35 1638.28 1642.24 1660.94 1712.65 1690 1698.11 1683.99 1812.06 
8 2500 6.25e+06 1875 4 1024 0 0 2 2 780.585 809.657 827.563 832.87 838.067 841.897 843.984 843.62 847.008 845.742 852.982 
8 250 62500 63 4 1024 0 0 0 2 876.13 1370.05 1638.94 1811.62 1840.86 1858.66 1791.22 1986.01 1920.93 1883.97 1748.56 
8 500 250000 125 4 1024 0 0 0 2 1963.41 2935.23 3433.6 3836.14 4077.16 4264.83 4191.89 4388.76 4483.16 4314.49 3056.14 
8 750 562500 188 4 1024 0 0 0 2 2774.29 4084.02 4661.78 5051.32 5140.4 5380.3 5458.16 5709.43 5700.48 5560.95 4445.09 
8 1000 1e+06 250 4 1024 0 0 0 2 3246.19 4365.9 4982.63 5218.27 5247.06 5412.48 5422.96 5738.25 5727.02 5533.38 5413.99 
8 2500 6.25e+06 1875 4 1024 0 0 0 2 1014.88 1060.35 1085.3 1098.77 1105.41 1114.09 1116.11 1114.83 1117.49 1121.03 1132.95 
8 250 62500 16 64 64 0 1 2 2 1506.29 1463.84 1295.55 1286.14 1229.45 1180.25 1086.59 1024.54 943.059 864.413 593.759 
8 500 250000 64 64 64 0 1 2 2 2127.61 2583.66 2775.36 2931.56 2718.93 2421.6 2108.49 1997.05 1820.67 1728 1468.45 
8 750 562500 144 64 64 0 1 2 2 2158.5 2612.59 2786.47 2858.88 2834.12 3060.24 2799.49 2777.37 3327.25 2987.07 1709.21 
8 1000 1e+06 256 64 64 0 1 2 2 1112.22 1270.95 1338.26 1319.77 1312.87 1334.02 1360.5 1357.19 1282.25 1310.18 1233.28 
8 2500 6.25e+06 1600 64 64 0 1 2 2 708.262 738.878 751.619 760.612 762.536 756.023 756.774 763.19 762.577 766.486 767.553 
8 100 1.99e+06 4 64 64 0 0 2 2 27463.9 21346.9 16040.6 14149.3 14181.9 14023.7 14086.5 14183.7 14172.4 14108.2 14056.9 
8 250 3.11875e+07 16 64 64 0 0 2 2 63801.5 33993.4 26766.8 25732.9 23197 21312.5 18822.4 17035.4 15161.8 13646.6 8811.96 
8 500 2.4975e+08 64 64 64 0 0 2 2 61711.9 63976.6 57841.3 62619 51770.8 42659.7 37424.6 33024.1 29825.8 28438.1 22975.4 
8 750 8.43188e+08 144 64 64 0 0 2 2 46084.3 45668.1 43922.8 41986.8 41514.3 46429 40311.4 36375.2 45539 42008.1 21866.3 
10 25000 25000 7 4096 1 0 0 1 1 1087.29 1085.61 1075.45 1084.18 1072.92 1082.73 1092.53 1085.13 1081.06 1091.33 1087.47 
10 50000 50000 13 4096 1 0 0 1 1 1095.8 1280.87 1225.96 1297.19 1190.62 1096.38 1083.44 985.741 899.967 824.62 740.542 
10 75000 75000 19 4096 1 0 0 1 1 1425.29 1693.63 1531.12 1553.78 1590.16 1333.43 1389.03 1280.27 1181.77 1198.02 772.108 
10 100000 100000 25 4096 1 0 0 1 1 1701.09 1844.75 1974.51 1752.06 1704.62 1644.99 1466.71 1507.81 1537.22 1443.68 921.29 
10 250000 250000 62 4096 1 0 0 1 1 2327.08 2956.12 3049.16 3225.79 2867.64 2641.77 2801.44 2495.13 2340.67 2192.48 1856.43 
10 500000 500000 123 4096 1 0 0 1 1 2494.86 3313.92 3704.87 3852.02 4013.94 3810.04 4178.43 3980.55 3597.8 3371.56 2447.58 
10 750000 750000 184 4096 1 0 0 1 1 2150.37 3055.56 3162.86 3143.8 3503.21 3533.14 3412.27 3235.71 3179.58 3417.57 2721.84 
10 1000000 1e+06 245 4096 1 0 0 1 1 1510.13 2221.46 1914.22 1951.4 2145 1981.31 2295.99 2001.93 2049.35 2400.15 2121.41 
10 250 124750 16 16 1 0 0 2 1 7289.53 7143.46 7274.94 7055.44 7093.38 7216.08 7247.1 7171.69 7225.25 7063.41 7160.72 
10 500 499500 32 16 1 0 0 2 1 8069.26 10103.1 10457.9 11579.6 11216 10974.7 10809 11096.7 10327.7 10231.7 7548.32 
10 750 1.12425e+06 47 16 1 0 0 2 1 13670.9 18079.7 18681.7 17373.1 17416.1 16472.6 15660.2 14771.4 14549.2 14852.8 11425.3 
10 1000 1.999e+06 63 16 1 0 0 2 1 18837.2 24251.6 25937.7 26530 24040.9 21958.5 21108.7 19649.5 18394.3 17933.8 15605.3 
10 2500 1.24975e+07 157 16 1 0 0 2 1 6123.08 8457.63 6200.67 6493.41 8517.7 8575.57 5252.33 5548.78 8909.72 9036.16 6156.84 
10 250 62500 63 4 1024 0 0 2 2 650.992 977.574 1127.65 1226.84 1267.96 1228.97 1517.3 1428.31 1355.96 1389.33 1182.74 
10 500 250000 125 4 1024 0 0 2 2 1458.64 2204.26 2613.43 2855.95 3043.41 2978.45 3182.4 3178.38 2917.61 2876.92 2153.15 
10 750 562500 188 4 1024 0 0 2 2 1964.08 2956.75 3280.55 3568.64 3683.45 3782.55 3999.53 3885.43 3791.94 3942.25 3014.45 
10 1000 1e+06 250 4 1024 0 0 2 2 1590.8 2104.07 1824.5 2199.17 2291.1 2490.82 2349.33 2069.54 2050.19 2525.18 1832.81 
10 2500 6.25e+06 1875 4 1024 0 0 2 2 820.724 835.859 985.952 827.444 1036.99 839.826 1050.16 866.99 853.187 855.324 847.075 
10 250 62500 63 4 1024 0 0 0 2 653.422 989.065 1148.45 1261.68 1312.94 1287.38 1601.14 1543.62 1497.36 1447.94 1450.26 
10 500 250000 125 4 1024 0 0 0 2 1490.13 2294.34 2752.13 3004.74 3208.5 3133.67 3432.42 3445.82 3135.07 3008.32 2521.72 
10 750 562500 188 4 1024 0 0 0 2 2065.05 3184.89 3676.76 3978.3 4105.52 4264.85 4411.71 4383.62 4285.42 4256.2 3549.48 
10 1000 1e+06 250 4 1024 0 0 0 2 2485.49 3483.58 3862.1 4178.59 4540.37 4276.21 4518.79 4507.68 4691.45 4747.62 3913.56 
10 2500 6.25e+06 1875 4 1024 0 0 0 2 1097.68 1209.71 1295.73 1277.35 1400.92 1365.85 1284.53 1386.98 1346.07 1390.94 1484.68 
10 250 62500 16 64 64 0 1 2 2 1065.14 1100.82 988.425 886.103 861.264 831.484 765.767 679.178 685.18 668.735 459.73 
10 500 250000 64 64 64 0 1 2 2 1679.01 2157.84 2249.86 2202.4 1959.78 1772.13 1675.66 1515.02 1467.73 1414.89 1040.48 
10 750 562500 144 64 64 0 1 2 2 1797.96 2495 2530.24 2659.94 2737.49 2613.08 2594.98 2599.82 2414.38 2179.81 1455.31 
10 1000 1e+06 256 64 64 0 1 2 2 1466.89 1593.88 1901.07 1923.79 1973.44 1815.63 1612.09 1941.66 1689.19 2014.48 1416.04 
10 2500 6.25e+06 1600 64 64 0 1 2 2 714.032 850.926 779.74 811.446 788.056 977.443 775.57 838 814.921 796.183 777.549 
10 100 1.99e+06 4 64 64 0 0 2 2 26712.9 20902.5 15931.5 14649.6 14528.5 14233 14799.7 15018 14487.3 14382.7 14608.2 
10 250 3.11875e+07 16 64 64 0 0 2 2 64382.7 35060.2 29290.2 23454.8 23554.3 21719.9 18764.4 17286.1 15664.9 14097.9 9297.24 
10 500 2.4975e+08 64 64 64 0 0 2 2 74777.7 70509.8 65357.7 63816.2 51850.6 43608.7 37876.2 34959.5 32567.8 30671.8 24634.8 
10 750 8.43188e+08 144 64 64 0 0 2 2 57164.5 54158.4 54103.2 52574.3 55701.8 48607.8 53061.3 52525.7 46529.8 42355.6 25471.2 
12 25000 25000 7 4096 1 0 0 1 1 1076.99 1084.16 1076.03 1073.95 1085.57 1075.67 1085.31 1077.32 1082.46 1071.79 1086.72 
12 50000 50000 13 4096 1 0 0 1 1 1012.52 1198.8 1101.9 1157.74 1142.71 1034.19 1042.64 949.963 844.886 816.377 703.842 
12 75000 75000 19 4096 1 0 0 1 1 1374.71 1624.11 1487.7 1447.2 1382.31 1323.27 1274.13 1214.02 1123.24 1177.8 734.504 
12 100000 100000 25 4096 1 0 0 1 1 1527.24 1549.83 1794.13 1601.69 1713.19 1578.53 1457.11 1465.85 1383.41 1286.47 890.455 
12 250000 250000 62 4096 1 0 0 1 1 2278.67 2813.07 3371.7 2418.14 2258.28 2814.35 2493.56 2264.66 1997.01 2025.58 1631.3 
12 500000 500000 123 4096 1 0 0 1 1 2434.91 3209.45 3409.26 3753.29 2987.16 4425.31 3231.14 2859.41 2633.43 2631.1 2086.81 
12 750000 750000 184 4096 1 0 0 1 1 2231.06 2579.41 3206.71 3113.97 3011.33 3501.29 2985.38 3479.81 4574.61 3258.43 2755.92 
12 1000000 1e+06 245 4096 1 0 0 1 1 1595.74 2172.85 2285.67 2553.91 2068.58 2465.07 2434.8 2839.85 2046.63 1877.62 1834.88 
12 250 124750 16 16 1 0 0 2 1 7064.29 7576.8 7144.6 7077.29 7305.58 7069.76 7154.83 7163.5 7147.14 7151.52 7187.8 
12 500 499500 32 16 1 0 0 2 1 7891.38 9365.28 11144.7 11091.5 10646.8 10520.9 10958.2 10617.6 10106.9 10161.5 7691.38 
12 750 1.12425e+06 47 16 1 0 0 2 1 14362.2 18083.3 18434.2 18482.6 17398.2 16303 16134.3 14992.6 14273.4 14311.6 11413.4 
12 1000 1.999e+06 63 16 1 0 0 2 1 20516.2 25903.3 27763 25459.2 23081.6 23101.6 20989.9 19888.2 18410.3 17834.4 14366 
12 2500 1.24975e+07 157 16 1 0 0 2 1 6392.43 6522.54 7926.32 6378.45 8734.08 7964.05 5880.27 6102.57 5614.92 5573.23 5388.89 
12 250 62500 63 4 1024 0 0 2 2 629.634 938.293 1087.71 1074.46 1121.77 1501.87 1397.36 1306.12 1306.9 1265.82 1171.09 
12 500 250000 125 4 1024 0 0 2 2 1469.29 2176.05 2598.62 2846.51 2455.13 3307.61 2675.82 2344.12 2363.65 2270.53 2054.52 
12 750 562500 188 4 1024 0 0 2 2 2091.48 2684.37 3125.49 3094 3210.09 3871.06 3173.17 3346.84 4513.58 3630.64 2939.28 
12 1000 1e+06 250 4 1024 0 0 2 2 1851.42 2084.74 1968.19 2316.87 2087.37 2653.31 2037.74 3139.85 2056.93 2158.64 1723.5 
